Title,Year,Album debut,Duration,Other releases,Genre,Songwriter,Lead vocal,Top 50 Billboard
Sie Liebt Dich,1964,UK: Rarities US: Rarities,139,9,"Rock and Roll, Pop/Rock",Lennon and McCartney/Nicolas/Montague,Lennon-McCartney,
Slow Down,1964,UK: Rock 'n' Roll Music US: Something New,175,21,"Rock and Roll, Pop/Rock",Williams,Lennon,44
So How Come (No One Loves Me),1963,Live at the BBC,114,,Pop/Rock,"Bryant, Bryant",Harrison,
Soldier of Love (Lay Down Your Arms),1963,Live at the BBC,119,,"R&B, Pop/Rock","Cason, Moon",Lennon,
Some Other Guy,1963,Live at the BBC,121,,"Rock and Roll, Pop/Rock","Leiber, Stoller, Barrett",Lennon and McCartney,
Something,1969,Abbey Road,179,16,"Rock, Pop/Rock",Harrison,Harrison,30
Sour Milk Sea,1968,,236,,"Hard Rock, Psychedelic Rock, Pop/Rock",Harrison,Harrison,
Step Inside Love/Los Paranoias,1968,Anthology 3,150,,"Folk Rock, Pop/Rock","McCartney (Step Inside Love); Lennon, McCartney, Harrison and Starkey (Los Paranoias)",McCartney,
Strawberry Fields Forever,1966,Magical Mystery Tour,245,20,"Psychedelic Rock, Art Pop, Psychedelic Pop, Pop/Rock",Lennon,Lennon,33
Sun King,1969,Abbey Road,146,6,"Art Pop, Pop/Rock",Lennon,Lennon,
Sure to Fall (In Love with You),1963,Live at the BBC,141,,Pop/Rock,"Perkins, Claunch, Cantrell",McCartney,
Sweet Little Sixteen,1963,Live at the BBC,141,,"Rock and Roll, Pop/Rock",Berry,Lennon,
Take Good Care of My Baby,1962,,,,"Rock and Roll, Pop/Rock","Goffin, King",Harrison,
Taking a Trip to Carolina,1969,Let It Be... Naked - Fly on the Wall bonus disc,,,Pop/Rock,Starkey,Starkey,
Taxman,1966,Revolver,159,10,"Rock, Hard Rock, Psychedelic Rock, Pop/Rock","Harrison, with uncredited contribution from Lennon",Harrison,
Teddy Boy,1969,Anthology 3,145,,"Folk Rock, Pop/Rock",McCartney,McCartney,
Tell Me What You See,1965,UK: Help! US: Beatles VI,156,10,"Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",
Tell Me Why,1964,UK: A Hard Day's Night US: Something New,130,15,"Rock and Roll, Pop/Rock",Lennon,Lennon,
Thank You Girl,1963,UK: Rarities US: The Beatles Second Album,121,21,"Merseybeat, Pop/Rock",Lennon and McCartney,Lennon and McCartney,46
That Means a Lot,1965,Anthology 2,146,,"Rock, Pop/Rock",McCartney,McCartney,
That'll Be the Day,1958,Anthology 1,136,,"Rock and Roll, Rockabilly, Pop/Rock","Allison, Holly, Petty",Lennon,
That's All Right (Mama),1963,Live at the BBC,176,,"Rockabilly, Pop/Rock",Crudup,McCartney,
The Ballad of John and Yoko,1969,UK: 1967-1970 US: Hey Jude,179,14,"Rock and Roll, Pop/Rock",Lennon,"Lennon, with McCartney",28
The Continuing Story of Bungalow Bill,1968,The Beatles,198,8,"Folk Rock, Pop/Rock",Lennon,"Lennon, with Starkey",
The End,1969,Abbey Road,140,6,"Hard Rock, Art Rock, Heavy Metal, Pop/Rock",McCartney,McCartney,
The Fool on the Hill,1967,Magical Mystery Tour,180,15,"Baroque Pop, Pop/Rock",McCartney,McCartney,
The Honeymoon Song,1963,Live at the BBC,,,Pop/Rock,"Theodorakis, Sansom",McCartney,
The Inner Light,1968,UK: Rarities US: Rarities,156,10,"Indian Music, Raga Rock, Pop/Rock",Harrison,Harrison,
The Long and Winding Road,1969,Let It Be,220,18,Pop/Rock,McCartney,McCartney,20
The Night Before,1965,Help!,153,13,Electronic Pop/Rock,McCartney,McCartney,
The Saints,1962,,,,Pop/Rock,"Traditional, arr. Sheridan",Sheridan,
The Sheik of Araby,1962,Anthology 1,,,"Jazz, Pop/Rock","Smith, Wheeler-Snyder",Harrison,
The Word,1965,Rubber Soul,161,6,"Rock, Pop/Rock",Lennon and McCartney,"Lennon, McCartney and Harrison",
There's a Place,1963,UK: Please Please Me US: Rarities,109,24,"Merseybeat, Rock and Roll, Pop/Rock",Lennon and McCartney,Lennon and McCartney,
Things We Said Today,1964,UK: A Hard Day's Night US: Something New,158,22,"Rock, Pop/Rock",McCartney,McCartney,
Think for Yourself,1965,Rubber Soul,138,7,Pop/Rock,Harrison,Harrison,
This Boy,1963,UK: Rarities US: Meet The Beatles!,133,23,"Doo Wop, Pop/Rock",Lennon,"Lennon, with McCartney and Harrison",
Three Cool Cats,1962,Anthology 1,128,,"R&B, Pop/Rock","Leiber, Stoller",Harrison,
Ticket to Ride,1965,Help!,190,31,"Power Pop, Jangle Pop, Folk Rock, Pop/Rock",Lennon,"Lennon, with McCartney",17
Till There Was You,1963,UK: With the Beatles US: Meet The Beatles!,136,22,Pop/Rock,Willson,McCartney,
Tip of My Tongue,1962,,,,"Beat, Power Pop, Pop/Rock",Lennon and/or McCartney,McCartney/Lennon,
To Know Her is to Love Her,1963,Live at the BBC,138,,Pop/Rock,Spector,Lennon,
Tomorrow Never Knows,1966,Revolver,178,14,"Psychedelic Rock, Hard Rock, Avant-Pop, Experimental Rock, Pop/Rock",Lennon,Lennon,
Too Much Monkey Business,1963,Live at the BBC,176,,"Rock and Roll, R&B, Pop/Rock",Berry,Lennon,
Twist and Shout,1963,UK: Please Please Me US: The Early Beatles,125,44,"Rock and Roll, R&B, Pop/Rock","Medley, Russell",Lennon,13
Two of Us,1969,Let It Be,213,11,"Folk Rock, Pop/Rock",McCartney,"McCartney, with Lennon",
Wait,1965,Rubber Soul,136,8,"Folk Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",
Watching Rainbows,1969,,248,,"Rock, Pop/Rock","Lennon, with McCartney",Lennon,
We Can Work It Out,1965,UK: A Collection of Beatles Oldies US: Yesterday and Today,135,19,"Folk Rock, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",9
What Goes On,1965,UK: Rubber Soul US: Yesterday and Today,170,9,"Country rock, Country, Pop/Rock","Lennon and McCartney, with Starkey",Starkey,
What You're Doing,1964,UK: Beatles for Sale US: Beatles VI,150,8,"Jangle pop, Pop/Rock",McCartney,McCartney,
What's The New Mary Jane,1968,Anthology 3,372,,"Psychedelic Rock, Musique Concrete, Experimental Music, Outsider Music, Pop/Rock",Lennon,Lennon,
When I Get Home,1964,UK: A Hard Day's Night US: Something New,138,14,"Rock and Roll, Pop/Rock",Lennon,Lennon,
When I'm Sixty-Four,1966,Sgt. Pepper's Lonely Hearts Club Band,157,7,"Music Hall, Pop/Rock",McCartney,McCartney,
While My Guitar Gently Weeps,1968,The Beatles,286,18,"Rock, Psychedelic Rock, Blues Rock, Pop/Rock",Harrison,Harrison,
Why Don't We Do It in the Road?,1968,The Beatles,102,8,"Rock, Blues, Pop/Rock",McCartney,McCartney,
Wild Honey Pie,1968,The Beatles,52,7,"Experimental pop, Lo-Fi, Psychedelic Folk, Pop/Rock",McCartney,McCartney,
Winston's Walk,1960,,,,,Lennon,N/A,
With a Little Help from My Friends,1967,Sgt. Pepper's Lonely Hearts Club Band,164,6,"Pop Rock, Psychedelic Pop, Pop/Rock",Lennon and McCartney,Starkey,
Within You Without You,1967,Sgt. Pepper's Lonely Hearts Club Band,305,7,"Indian Classical, Raga Rock, Pop/Rock",Harrison,Harrison,
Woman,1965,,145,,"Folk Rock, Pop/Rock",McCartney (as Bernard Webb or A. Smith),McCartney,
Words of Love,1964,UK: Beatles for Sale US: Beatles VI,122,16,Pop/Rock,Holly,Lennon and McCartney,
Yellow Submarine,1966,Revolver,158,24,"Children's Music, Folk, Pop/Rock",McCartney,Starkey,25
Yer Blues,1968,The Beatles,241,11,"Blues Rock, Hard Rock, Pop/Rock",Lennon,Lennon,
Yes It Is,1965,UK: Rarities US: Beatles VI,161,16,Pop/Rock,Lennon,"Lennon, McCartney and Harrison",
Yesterday,1965,UK: Help! US: Yesterday and Today,123,33,"Baroque Pop, Pop/Rock",McCartney,McCartney,12
You Can't Do That,1964,UK: A Hard Day's Night US: The Beatles Second Album,157,25,"Rock and Roll, R&B, Pop/Rock",Lennon,Lennon,
You Know My Name (Look Up the Number),1967,UK: Rarities US: Rarities,261,4,"Comedy Rock, Jazz, Experimental Rock, Avant-Garde, Novelty, Pop/Rock","Lennon, with McCartney",Lennon and McCartney,
You Know What to Do,1964,Anthology 1,119,,Pop/Rock,Harrison,Harrison,
You Like Me Too Much,1965,UK: Help! US: Beatles VI,155,12,Pop/Rock,Harrison,Harrison,
You Never Give Me Your Money,1969,Abbey Road,242,7,"Rock, Pop/Rock",McCartney,McCartney,
You Won't See Me,1965,Rubber Soul,202,11,Pop/Rock,McCartney,McCartney,
You'll Be Mine,1960,Anthology 1,98,,"R&B, Experimental, Pop/Rock",Lennon and McCartney,McCartney,
You're Going to Lose That Girl,1965,Help!,140,6,"Rock, Pop/Rock",Lennon,Lennon,
You've Got to Hide Your Love Away,1965,Help!,131,12,FolkPop/Rock,Lennon,Lennon,
You've Really Got a Hold on Me,1963,UK: With the Beatles US: The Beatles Second Album,182,2,"Soul, Pop/Rock",Robinson,Lennon and Harrison,
Young Blood,1963,Live at the BBC,116,,Pop/Rock,"Leiber, Stoller",Harrison,
Your Mother Should Know,1967,Magical Mystery Tour,149,13,"Music Hall, Vaudeville Rock, Psychedelic Pop, Pop/Rock",McCartney,McCartney,
